analysis,metric,method_a,method_b,rank_a,rank_b,absolute_rank_difference,nemenyi_q,nemenyi_p,critical_difference,reject_nemenyi
sensitivity_9block,Accuracy,BWA,TiReMGE,5.444444444444445,8.61111111111111,3.166666666666666,2.21872199086034,0.4436733747083801,4.51536126139487,False
sensitivity_9block,Accuracy,GCRN,CrowdFM,1.8888888888888888,4.777777777777778,2.888888888888889,2.0240972548199596,0.581813583105067,4.51536126139487,False
sensitivity_9block,Accuracy,GCRN,DS,1.8888888888888888,4.611111111111111,2.722222222222222,1.907322413195731,0.6641290033589796,4.51536126139487,False
sensitivity_9block,Accuracy,BWA,MV,5.444444444444445,8.166666666666666,2.7222222222222214,1.9073224131957305,0.6641290033589802,4.51536126139487,False
sensitivity_9block,Accuracy,GCRN,GOVERN,1.8888888888888888,4.444444444444445,2.555555555555556,1.790547571571503,0.741484667279557,4.51536126139487,False
sensitivity_9block,Accuracy,PM,TiReMGE,6.055555555555555,8.61111111111111,2.5555555555555554,1.7905475715715025,0.7414846672795574,4.51536126139487,False
sensitivity_9block,Accuracy,EBCC,GLAD,4.277777777777778,6.722222222222222,2.4444444444444446,1.7126976771553504,0.7886023216577946,4.51536126139487,False
sensitivity_9block,Accuracy,GCRN,EBCC,1.8888888888888888,4.277777777777778,2.388888888888889,1.6737727299472742,0.8105043698949013,4.51536126139487,False
sensitivity_9block,Accuracy,GOVERN,GLAD,4.444444444444445,6.722222222222222,2.2777777777777777,1.595922835531122,0.8505913250530331,4.51536126139487,False
sensitivity_9block,Accuracy,DS,GLAD,4.611111111111111,6.722222222222222,2.1111111111111116,1.4791479939068939,0.9006968623145338,4.51536126139487,False
sensitivity_9block,Accuracy,PM,MV,6.055555555555555,8.166666666666666,2.1111111111111107,1.4791479939068932,0.9006968623145342,4.51536126139487,False
sensitivity_9block,Accuracy,CrowdFM,GLAD,4.777777777777778,6.722222222222222,1.9444444444444446,1.3623731522826652,0.9385177582863825,4.51536126139487,False
sensitivity_9block,Accuracy,GLAD,TiReMGE,6.722222222222222,8.61111111111111,1.8888888888888884,1.3234482050745886,0.9485165738160365,4.51536126139487,False
sensitivity_9block,Accuracy,EBCC,PM,4.277777777777778,6.055555555555555,1.7777777777777777,1.2455983106584365,0.9649465716848836,4.51536126139487,False
sensitivity_9block,Accuracy,GOVERN,PM,4.444444444444445,6.055555555555555,1.6111111111111107,1.1288234690342078,0.9818597665572414,4.51536126139487,False
sensitivity_9block,Accuracy,DS,PM,4.611111111111111,6.055555555555555,1.4444444444444446,1.0120486274099798,0.9916362353629196,4.51536126139487,False
sensitivity_9block,Accuracy,GLAD,MV,6.722222222222222,8.166666666666666,1.4444444444444438,1.0120486274099794,0.9916362353629196,4.51536126139487,False
sensitivity_9block,Accuracy,CrowdFM,PM,4.777777777777778,6.055555555555555,1.2777777777777777,0.8952737857857512,0.9966489287543192,4.51536126139487,False
sensitivity_9block,Accuracy,BWA,GLAD,5.444444444444445,6.722222222222222,1.2777777777777777,0.8952737857857512,0.9966489287543192,4.51536126139487,False
sensitivity_9block,Accuracy,EBCC,BWA,4.277777777777778,5.444444444444445,1.166666666666667,0.8174238913695993,0.9983431778237709,4.51536126139487,False
sensitivity_9block,Accuracy,GOVERN,BWA,4.444444444444445,5.444444444444445,1.0,0.7006490497453706,0.9995175251840146,4.51536126139487,False
sensitivity_9block,Accuracy,DS,BWA,4.611111111111111,5.444444444444445,0.8333333333333339,0.5838742081211425,0.9998933625969012,4.51536126139487,False
sensitivity_9block,Accuracy,CrowdFM,BWA,4.777777777777778,5.444444444444445,0.666666666666667,0.4670993664969139,0.9999840475294177,4.51536126139487,False
sensitivity_9block,Accuracy,PM,GLAD,6.055555555555555,6.722222222222222,0.666666666666667,0.4670993664969139,0.9999840475294177,4.51536126139487,False
sensitivity_9block,Accuracy,BWA,PM,5.444444444444445,6.055555555555555,0.6111111111111107,0.4281744192888373,0.9999924807218562,4.51536126139487,False
sensitivity_9block,Accuracy,EBCC,CrowdFM,4.277777777777778,4.777777777777778,0.5,0.3503245248726853,0.9999986959922711,4.51536126139487,False
sensitivity_9block,Accuracy,MV,TiReMGE,8.166666666666666,8.61111111111111,0.44444444444444464,0.3113995776646093,0.999999537721154,4.51536126139487,False
sensitivity_9block,Accuracy,EBCC,DS,4.277777777777778,4.611111111111111,0.33333333333333304,0.23354968324845665,0.9999999639457338,4.51536126139487,False
sensitivity_9block,Accuracy,GOVERN,CrowdFM,4.444444444444445,4.777777777777778,0.33333333333333304,0.23354968324845665,0.9999999639457338,4.51536126139487,False
sensitivity_9block,Accuracy,EBCC,GOVERN,4.277777777777778,4.444444444444445,0.16666666666666696,0.11677484162422865,0.9999999999269474,4.51536126139487,False
sensitivity_9block,Accuracy,DS,CrowdFM,4.611111111111111,4.777777777777778,0.16666666666666696,0.11677484162422865,0.9999999999269474,4.51536126139487,False
sensitivity_9block,Accuracy,GOVERN,DS,4.444444444444445,4.611111111111111,0.16666666666666607,0.11677484162422802,0.9999999999269474,4.51536126139487,False
sensitivity_9block,Macro-F1,GCRN,TiReMGE,3.2222222222222223,8.38888888888889,5.166666666666667,3.6200200903510815,0.010999817704653303,4.51536126139487,True
sensitivity_9block,Macro-F1,GCRN,MV,3.2222222222222223,7.333333333333333,4.111111111111111,2.8804460933976346,0.11097043061863221,4.51536126139487,False
sensitivity_9block,Macro-F1,DS,TiReMGE,4.333333333333333,8.38888888888889,4.055555555555556,2.841521146189559,0.12269886197014568,4.51536126139487,False
sensitivity_9block,Macro-F1,EBCC,TiReMGE,4.666666666666667,8.38888888888889,3.7222222222222223,2.607971462941102,0.21362467794169082,4.51536126139487,False
sensitivity_9block,Macro-F1,GOVERN,TiReMGE,4.666666666666667,8.38888888888889,3.7222222222222223,2.607971462941102,0.21362467794169082,4.51536126139487,False
sensitivity_9block,Macro-F1,CrowdFM,TiReMGE,5.111111111111111,8.38888888888889,3.2777777777777786,2.296571885276493,0.3910697889618021,4.51536126139487,False
sensitivity_9block,Macro-F1,DS,MV,4.333333333333333,7.333333333333333,3.0,2.101947149236112,0.5260238924945828,4.51536126139487,False
sensitivity_9block,Macro-F1,PM,TiReMGE,5.444444444444445,8.38888888888889,2.9444444444444446,2.0630222020280358,0.5539173242512355,4.51536126139487,False
sensitivity_9block,Macro-F1,GCRN,GLAD,3.2222222222222223,6.111111111111111,2.8888888888888884,2.024097254819959,0.5818135831050675,4.51536126139487,False
sensitivity_9block,Macro-F1,BWA,TiReMGE,5.722222222222222,8.38888888888889,2.666666666666667,1.8683974659876552,0.6906443375858078,4.51536126139487,False
sensitivity_9block,Macro-F1,EBCC,MV,4.666666666666667,7.333333333333333,2.666666666666666,1.8683974659876545,0.690644337585808,4.51536126139487,False
sensitivity_9block,Macro-F1,GOVERN,MV,4.666666666666667,7.333333333333333,2.666666666666666,1.8683974659876545,0.690644337585808,4.51536126139487,False
sensitivity_9block,Macro-F1,GCRN,BWA,3.2222222222222223,5.722222222222222,2.5,1.7516226243634265,0.7655640351059612,4.51536126139487,False
sensitivity_9block,Macro-F1,GLAD,TiReMGE,6.111111111111111,8.38888888888889,2.2777777777777786,1.5959228355311226,0.8505913250530328,4.51536126139487,False
sensitivity_9block,Macro-F1,GCRN,PM,3.2222222222222223,5.444444444444445,2.2222222222222223,1.5569978883230458,0.8686617254701924,4.51536126139487,False
sensitivity_9block,Macro-F1,CrowdFM,MV,5.111111111111111,7.333333333333333,2.2222222222222223,1.5569978883230458,0.8686617254701924,4.51536126139487,False
sensitivity_9block,Macro-F1,GCRN,CrowdFM,3.2222222222222223,5.111111111111111,1.8888888888888884,1.3234482050745886,0.9485165738160365,4.51536126139487,False
sensitivity_9block,Macro-F1,PM,MV,5.444444444444445,7.333333333333333,1.8888888888888884,1.3234482050745886,0.9485165738160365,4.51536126139487,False
sensitivity_9block,Macro-F1,DS,GLAD,4.333333333333333,6.111111111111111,1.7777777777777777,1.2455983106584365,0.9649465716848836,4.51536126139487,False
sensitivity_9block,Macro-F1,BWA,MV,5.722222222222222,7.333333333333333,1.6111111111111107,1.1288234690342078,0.9818597665572414,4.51536126139487,False
sensitivity_9block,Macro-F1,GCRN,EBCC,3.2222222222222223,4.666666666666667,1.4444444444444446,1.0120486274099798,0.9916362353629196,4.51536126139487,False
sensitivity_9block,Macro-F1,GCRN,GOVERN,3.2222222222222223,4.666666666666667,1.4444444444444446,1.0120486274099798,0.9916362353629196,4.51536126139487,False
sensitivity_9block,Macro-F1,EBCC,GLAD,4.666666666666667,6.111111111111111,1.4444444444444438,1.0120486274099794,0.9916362353629196,4.51536126139487,False
sensitivity_9block,Macro-F1,GOVERN,GLAD,4.666666666666667,6.111111111111111,1.4444444444444438,1.0120486274099794,0.9916362353629196,4.51536126139487,False
sensitivity_9block,Macro-F1,DS,BWA,4.333333333333333,5.722222222222222,1.3888888888888893,0.9731236802019039,0.9937279513181032,4.51536126139487,False
sensitivity_9block,Macro-F1,GLAD,MV,6.111111111111111,7.333333333333333,1.2222222222222223,0.8563488385776752,0.9976188799511291,4.51536126139487,False
sensitivity_9block,Macro-F1,DS,PM,4.333333333333333,5.444444444444445,1.1111111111111116,0.7784989441615232,0.9988731558509671,4.51536126139487,False
sensitivity_9block,Macro-F1,GCRN,DS,3.2222222222222223,4.333333333333333,1.1111111111111107,0.7784989441615227,0.9988731558509671,4.51536126139487,False
sensitivity_9block,Macro-F1,MV,TiReMGE,7.333333333333333,8.38888888888889,1.0555555555555562,0.7395739969534473,0.9992524837147353,4.51536126139487,False
sensitivity_9block,Macro-F1,EBCC,BWA,4.666666666666667,5.722222222222222,1.0555555555555554,0.7395739969534466,0.9992524837147353,4.51536126139487,False
sensitivity_9block,Macro-F1,GOVERN,BWA,4.666666666666667,5.722222222222222,1.0555555555555554,0.7395739969534466,0.9992524837147353,4.51536126139487,False
sensitivity_9block,Macro-F1,CrowdFM,GLAD,5.111111111111111,6.111111111111111,1.0,0.7006490497453706,0.9995175251840146,4.51536126139487,False
sensitivity_9block,Macro-F1,DS,CrowdFM,4.333333333333333,5.111111111111111,0.7777777777777777,0.544949260913066,0.9999404251094329,4.51536126139487,False
sensitivity_9block,Macro-F1,EBCC,PM,4.666666666666667,5.444444444444445,0.7777777777777777,0.544949260913066,0.9999404251094329,4.51536126139487,False
sensitivity_9block,Macro-F1,GOVERN,PM,4.666666666666667,5.444444444444445,0.7777777777777777,0.544949260913066,0.9999404251094329,4.51536126139487,False
sensitivity_9block,Macro-F1,PM,GLAD,5.444444444444445,6.111111111111111,0.6666666666666661,0.4670993664969133,0.9999840475294177,4.51536126139487,False
sensitivity_9block,Macro-F1,CrowdFM,BWA,5.111111111111111,5.722222222222222,0.6111111111111116,0.4281744192888379,0.9999924807218562,4.51536126139487,False
sensitivity_9block,Macro-F1,EBCC,CrowdFM,4.666666666666667,5.111111111111111,0.44444444444444375,0.3113995776646087,0.999999537721154,4.51536126139487,False
sensitivity_9block,Macro-F1,GOVERN,CrowdFM,4.666666666666667,5.111111111111111,0.44444444444444375,0.3113995776646087,0.999999537721154,4.51536126139487,False
sensitivity_9block,Macro-F1,BWA,GLAD,5.722222222222222,6.111111111111111,0.3888888888888884,0.27247463045653264,0.9999998581560439,4.51536126139487,False
sensitivity_9block,Macro-F1,DS,EBCC,4.333333333333333,4.666666666666667,0.3333333333333339,0.2335496832484573,0.9999999639457338,4.51536126139487,False
sensitivity_9block,Macro-F1,DS,GOVERN,4.333333333333333,4.666666666666667,0.3333333333333339,0.2335496832484573,0.9999999639457338,4.51536126139487,False
sensitivity_9block,Macro-F1,CrowdFM,PM,5.111111111111111,5.444444444444445,0.3333333333333339,0.2335496832484573,0.9999999639457338,4.51536126139487,False
sensitivity_9block,Macro-F1,PM,BWA,5.444444444444445,5.722222222222222,0.2777777777777777,0.19462473604038066,0.9999999929071549,4.51536126139487,False
sensitivity_9block,Macro-F1,EBCC,GOVERN,4.666666666666667,4.666666666666667,0.0,0.0,1.0,4.51536126139487,False
sensitivity_9block,Weighted-F1,GCRN,TiReMGE,2.111111111111111,8.5,6.388888888888889,4.476368928928757,0.0003241927942209122,4.51536126139487,True
sensitivity_9block,Weighted-F1,GCRN,MV,2.111111111111111,8.222222222222221,6.111111111111111,4.281744192888375,0.0007769892308937543,4.51536126139487,True
sensitivity_9block,Weighted-F1,DS,TiReMGE,4.222222222222222,8.5,4.277777777777778,2.997220935021863,0.0810029553103343,4.51536126139487,False
sensitivity_9block,Weighted-F1,GCRN,GLAD,2.111111111111111,6.222222222222222,4.111111111111111,2.8804460933976346,0.11097043061863221,4.51536126139487,False
